,0
garage_yr_blt_1948.0,0.0
garage_yr_blt_1965.0,-0.0
bsmtfin_type_1_Rec,-0.0
garage_yr_blt_1967.0,0.0
garage_yr_blt_1968.0,0.0
garage_yr_blt_1984.0,-0.0
garage_yr_blt_1983.0,0.0
garage_yr_blt_1982.0,-0.0
garage_yr_blt_1981.0,-0.0
garage_yr_blt_1980.0,-0.0
garage_yr_blt_1979.0,0.0
garage_yr_blt_1978.0,-0.0
garage_yr_blt_1977.0,-0.0
garage_yr_blt_1975.0,-0.0
garage_yr_blt_1974.0,-0.0
garage_yr_blt_1973.0,-0.0
garage_yr_blt_1972.0,-0.0
garage_yr_blt_1971.0,-0.0
garage_yr_blt_1970.0,0.0
garage_yr_blt_1969.0,-0.0
bsmtfin_type_1_no_basement,0.0
bsmt_cond_Ex,-0.0
house_style_1Story,0.0
neighborhood_NWAmes,-0.0
condition_1_PosA,0.0
condition_1_Feedr,-0.0
neighborhood_Veenker,-0.0
neighborhood_Timber,0.0
neighborhood_SawyerW,-0.0
neighborhood_Sawyer,-0.0
neighborhood_SWISU,-0.0
neighborhood_NPkVill,0.0
condition_1_RRNe,-0.0
neighborhood_NAmes,-0.0
neighborhood_Mitchel,0.0
neighborhood_MeadowV,0.0
neighborhood_Landmrk,-0.0
neighborhood_IDOTRR,-0.0
neighborhood_Greens,-0.0
neighborhood_Gilbert,-0.0
condition_1_RRAn,-0.0
condition_2_Artery,-0.0
roof_style_Gambrel,0.0
house_style_1.5Fin,-0.0
roof_style_Flat,-0.0
house_style_SLvl,-0.0
house_style_SFoyer,-0.0
house_style_2Story,0.0
house_style_2.5Unf,0.0
bsmtfin_type_1_LwQ,-0.0
house_style_1.5Unf,0.0
bldg_type_Twnhs,-0.0
condition_2_Feedr,-0.0
bldg_type_Duplex,-0.0
bldg_type_2fmCon,0.0
condition_2_RRNn,0.0
condition_2_RRAn,-0.0
condition_2_RRAe,0.0
condition_2_PosN,0.0
condition_2_Norm,0.0
neighborhood_CollgCr,0.0
neighborhood_ClearCr,0.0
neighborhood_BrDale,-0.0
open_porch_sf,0.0
ms_zoning_C  ,-0.0
ms_zoning_A  ,-0.0
yr_sold,0.0
mo_sold,-0.0
pool_area,-0.0
3ssn_porch,0.0
enclosed_porch,0.0
bedroom_abvgr,-0.0
neighborhood_Blueste,-0.0
bsmt_half_bath,-0.0
low_qual_fin_sf,-0.0
2nd_flr_sf,0.0
1st_flr_sf,0.0
bsmt_unf_sf,-0.0
bsmtfin_sf_2,0.0
lot_frontage,-0.0
ms_zoning_FV,0.0
ms_zoning_I  ,0.0
ms_zoning_RH,-0.0
ms_zoning_RL,0.0
neighborhood_Blmngtn,0.0
land_slope_Sev,-0.0
land_slope_Gtl,-0.0
lot_config_Inside,-0.0
lot_config_FR3,-0.0
lot_config_Corner,-0.0
utilities_NoSewr,0.0
utilities_NoSeWa,0.0
utilities_AllPub,0.0
land_contour_Lvl,0.0
land_contour_Low,-0.0
lot_shape_Reg,-0.0
lot_shape_IR3,-0.0
lot_shape_IR1,0.0
ms_zoning_RM,-0.0
roof_style_Gable,-0.0
sale_type_WD ,-0.0
exterior_2nd_Wd Shng,-0.0
mas_vnr_type_BrkFace,-0.0
bsmt_exposure_no_basement,0.0
exter_cond_Ex,0.0
bsmtfin_type_1_ALQ,0.0
exter_qual_Gd,0.0
exter_qual_Fa,-0.0
mas_vnr_type_None,0.0
roof_style_Shed,-0.0
exterior_2nd_ImStucc,-0.0
